epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
112,16404.1,0.80368,0.44157,1.70617,0.97476,0.93905,0.98804,0.86373,1.12882,0.47391,1.75287,0.0089011,0.0089011,0.0089011
113,16553.6,0.81084,0.45228,1.70907,0.9831,0.9341,0.98303,0.84885,1.15283,0.49907,1.76382,0.0088912,0.0088912,0.0088912
114,16704.2,0.80581,0.44732,1.70587,0.98055,0.92417,0.98108,0.85099,1.13603,0.48499,1.75118,0.0088813,0.0088813,0.0088813
115,16854,0.79777,0.44325,1.69784,0.97366,0.92401,0.98599,0.85747,1.12762,0.47814,1.7503,0.0088714,0.0088714,0.0088714
116,17004.1,0.80107,0.44892,1.70247,0.99009,0.93724,0.98959,0.85697,1.13303,0.45937,1.7466,0.0088615,0.0088615,0.0088615
117,17153.6,0.78778,0.44232,1.69849,0.98049,0.92681,0.98167,0.85756,1.10802,0.47294,1.74073,0.0088516,0.0088516,0.0088516
118,17301.8,0.79053,0.43717,1.69941,0.97607,0.93371,0.98511,0.8535,1.12718,0.4766,1.76482,0.0088417,0.0088417,0.0088417
119,17449,0.80506,0.43925,1.71133,0.98277,0.93612,0.98696,0.85543,1.1254,0.45986,1.80336,0.0088318,0.0088318,0.0088318
120,17593.5,0.79816,0.44359,1.70735,0.96105,0.97556,0.99063,0.86501,1.10128,0.44978,1.75972,0.0088219,0.0088219,0.0088219
121,17738,0.79941,0.4409,1.69957,0.96479,0.95981,0.99174,0.86947,1.09899,0.45806,1.75151,0.008812,0.008812,0.008812
122,17882.4,0.78564,0.43549,1.69613,0.93295,0.96876,0.98775,0.85714,1.12618,0.47256,1.77622,0.0088021,0.0088021,0.0088021
123,18027.4,0.78397,0.43958,1.70349,0.97825,0.94937,0.99174,0.86647,1.11395,0.44947,1.78377,0.0087922,0.0087922,0.0087922
124,18168.1,0.78463,0.42635,1.69647,0.98598,0.9333,0.9891,0.86074,1.12224,0.46936,1.80044,0.0087823,0.0087823,0.0087823
125,18308.1,0.7815,0.42708,1.699,0.97113,0.97193,0.99425,0.8641,1.12682,0.45074,1.77426,0.0087724,0.0087724,0.0087724
126,18449.8,0.78487,0.42448,1.69586,0.96634,0.9713,0.99248,0.86063,1.12351,0.44294,1.77277,0.0087625,0.0087625,0.0087625
127,18591.4,0.7756,0.43113,1.69292,0.96807,0.96324,0.99017,0.85416,1.11429,0.45307,1.76528,0.0087526,0.0087526,0.0087526
128,18732,0.78188,0.42806,1.69775,0.9773,0.95256,0.9894,0.85543,1.10794,0.45376,1.74873,0.0087427,0.0087427,0.0087427
129,18872.9,0.7759,0.43175,1.68829,0.98252,0.94619,0.98728,0.85514,1.12196,0.46498,1.75158,0.0087328,0.0087328,0.0087328
130,19013.5,0.77568,0.43345,1.70074,0.98532,0.94375,0.98937,0.8516,1.11863,0.44607,1.74394,0.0087229,0.0087229,0.0087229
131,19155.2,0.78559,0.43238,1.70042,0.97667,0.95512,0.98433,0.85462,1.13234,0.46058,1.76032,0.008713,0.008713,0.008713
132,19296.7,0.78287,0.43652,1.68952,0.97444,0.94965,0.98548,0.85535,1.12432,0.45474,1.74859,0.0087031,0.0087031,0.0087031
